tableName,name,type,len,defaultValue,notNull,primaryKey,comment,tableComment
AGENT_APPROVAL,id,String,50,,true,true,id,Agent审批
AGENT_APPROVAL,workspaceId,String,50,,false,false,工作空间ID,
AGENT_APPROVAL,createTimeMillis,Long,,,false,false,数据创建时间,
AGENT_APPROVAL,modifyTimeMillis,Long,,,false,false,数据修改时间,
AGENT_APPROVAL,modifyUser,String,50,,false,false,修改人,
AGENT_APPROVAL,agentSessionId,String,50,,false,false,Agent会话ID,
AGENT_APPROVAL,toolName,String,50,,false,false,工具名,
AGENT_APPROVAL,arguments,TEXT,,,false,false,工具参数,
AGENT_APPROVAL,status,Integer,,0,false,false,状态{0待审批1已批准2已拒绝3已超时},
AGENT_APPROVAL,operator,String,50,,false,false,发起人,
AGENT_APPROVAL,approver,String,50,,false,false,审批人,
AGENT_APPROVAL,result,TEXT,,,false,false,执行结果,
AGENT_APPROVAL,remark,String,200,,false,false,备注,
AGENT_APPROVAL,expireTimeMillis,Long,,,false,false,超时时间,
CI_BUILD_LOG,id,String,50,,true,true,表id,构建历史记录
CI_BUILD_LOG,buildDataId,String,50,,false,false,构建的数据id,
CI_BUILD_LOG,buildNumberId,Integer,,,false,false,构建编号,
CI_BUILD_LOG,status,TINYINT,,,false,false,构建状态,
CI_BUILD_LOG,startTime,Long,,,false,false,开始时间,
CI_BUILD_LOG,endTime,Long,,,false,false,结束时间,
CI_BUILD_LOG,resultDirFile,String,200,,false,false,构建产物目录,
CI_BUILD_LOG,releaseMethod,TINYINT,,,false,false,发布方式,
CI_BUILD_LOG,name,String,100,,false,false,构建名称,
CI_BUILD_LOG,buildName,String,100,,false,false,构建名称,
CI_BUILD_LOG,createTimeMillis,Long,,,false,false,数据创建时间,
CI_BUILD_LOG,modifyTimeMillis,Long,,,false,false,数据修改时间,
CI_BUILD_LOG,modifyUser,String,50,,false,false,操作人,
CI_BUILD_LOG,workspaceId,String,50,,false,false,所属工作空间,
CI_BUILD_LOG,triggerBuildType,Integer,,0,false,false,"触发类型{0，手动，1 触发器,2 自动触发}",
CI_BUILD_LOG,buildRemark,String,255,,false,false,构建备注,
CI_BUILD_LOG,extraData,TEXT,,,false,false,额外信息，JSON 字符串格式,
CI_BUILD_LOG,buildEnvCache,TEXT,,,,,构建环境变量,
CI_BUILD_LOG,resultFileSize,Long,,,,,产物文件大小,
CI_BUILD_LOG,buildLogFileSize,Long,,,,,构建日志文件大小,
CI_BUILD_LOG,statusMsg,TEXT,,,,,状态信息,
CI_BUILD_LOG,fromBuildNumberId,Integer,,,,,来自的构建编号，回滚时存在,
